INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
<bark:item.BambooBarkBasket>, Bamboo Bark Basket
<terrafirmacraftplus:DoorWillow>, Willow Door
<terrafirmacraftplus:DoorYew>, Yew Door
<terrafirmacraftplus:DryGrass>, Dry Grass
<terrafirmacraftplus:DryGrass2>, Dry Grass
<terrafirmacraftplus:EarlyBloomery>, Bloomery
<terrafirmacraftplus:Fake Palm>, tile.Fake Palm.name
<terrafirmacraftplus:FanCoral>, Fan Coral
<terrafirmacraftplus:Fence>, Oak Fence
<terrafirmacraftplus:Fence2>, Acacia Fence
<terrafirmacraftplus:Fence3>, Yew Fence
<terrafirmacraftplus:FenceGate>, Oak Fence Gate
<terrafirmacraftplus:FenceGate2>, Acacia Fence Gate
<terrafirmacraftplus:FenceGate3>, Yew Fence Gate
<terrafirmacraftplus:FireBrick>, Fire Brick Block
<terrafirmacraftplus:Firepit>, Firepit
<terrafirmacraftplus:Flora>, Goldenrod
<terrafirmacraftplus:FlowerPot>, Flower Pot
<terrafirmacraftplus:Flowers>, Dandelion
<terrafirmacraftplus:Flowers2>, Poppy
<terrafirmacraftplus:FoodPrep>, Food Prep
<terrafirmacraftplus:Forge>, Forge
<terrafirmacraftplus:FreshWater>, Fresh Water Flowing
<terrafirmacraftplus:FreshWaterStationary>, Fresh Water
<terrafirmacraftplus:Fungi>, Brown Mushroom
<terrafirmacraftplus:Fur Teepee>, Fur Teepee
<terrafirmacraftplus:Grass>, Grass
<terrafirmacraftplus:Grass2>, Grass
<terrafirmacraftplus:Gravel>, Gravel
<terrafirmacraftplus:Gravel2>, Gravel
<terrafirmacraftplus:GreenCopperRoof>, Green Copper Roof
<terrafirmacraftplus:GreenCopperRoofCenter>, Green Copper Roof Peak
<terrafirmacraftplus:Grill>, Grill
<terrafirmacraftplus:Hopper>, Hopper
<terrafirmacraftplus:HotWater>, Hot Springs Flowing
<terrafirmacraftplus:HotWaterStationary>, Hot Springs
<terrafirmacraftplus:Ice>, Ice
<terrafirmacraftplus:IngotPile>, Ingot Pile
<terrafirmacraftplus:Lava>, Lava Flowing
<terrafirmacraftplus:LavaStationary>, Lava
<terrafirmacraftplus:LeatherRack>, Leather Rack
<terrafirmacraftplus:LilyPad>, Lilypad
<terrafirmacraftplus:LitPumpkin>, Jack o'Lantern
<terrafirmacraftplus:LittleDrum>, Drum
<terrafirmacraftplus:LogPile>, Log Pile
<terrafirmacraftplus:Loom>, Oak Loom
<terrafirmacraftplus:LooseRock>, Debris
<terrafirmacraftplus:MangroveRoot>, Mangrove Roots
<terrafirmacraftplus:MangroveRootWaterlogged>, Mangrove Roots
<terrafirmacraftplus:Melon>, Melon
<terrafirmacraftplus:MetalSheet>, Metal Sheet
<terrafirmacraftplus:MetalTrapDoor>, Trap Door
<terrafirmacraftplus:Molten>, Molten Ore
<terrafirmacraftplus:Moss>, Moss
<terrafirmacraftplus:NestBox>, Nest Box
<terrafirmacraftplus:OilLamp>, Gold Oil Lamp
<terrafirmacraftplus:Ore1>, Ore
<terrafirmacraftplus:Ore1b>, Ore
<terrafirmacraftplus:Ore2>, Ore
<terrafirmacraftplus:Ore3>, Ore
<terrafirmacraftplus:Peat>, Peat
<terrafirmacraftplus:PeatGrass>, Peat Grass
<terrafirmacraftplus:Primitive Loom>, Stick Loom
<terrafirmacraftplus:Pumpkin>, Pumpkin
<terrafirmacraftplus:Quern>, Quern Base
<terrafirmacraftplus:Reeds>, Reeds
<terrafirmacraftplus:ResinKnife>, Knife
<terrafirmacraftplus:Rope Ladder>, Rope Ladder
<terrafirmacraftplus:Salammoniac>, Salammoniac
<terrafirmacraftplus:SaltWater>, Salt Water Flowing
<terrafirmacraftplus:SaltWaterStationary>, Salt Water
<terrafirmacraftplus:Sand>, Sand
<terrafirmacraftplus:Sand2>, Sand
<terrafirmacraftplus:Scallop>, tile.Scallop.name
<terrafirmacraftplus:SeaGrassStill>, Seagrass
<terrafirmacraftplus:ShallowCopperRoof>, Shallow Copper Roof
<terrafirmacraftplus:ShallowCopperRoofCenter>, Shallow Copper Roof Peak
<terrafirmacraftplus:ShallowGreenCopperRoof>, Shallow Green Copper Roof Peak
<terrafirmacraftplus:ShallowGreenCopperRoofCenter>, Shallow Green Copper Roof Peak
<terrafirmacraftplus:ShallowSlateRoof>, Shallow Slate Roof
<terrafirmacraftplus:ShallowSlateRoofCenter>, Shallow Slate Roof Peak
<terrafirmacraftplus:ShallowTileRoof>, Shallow Ceramic Tile Roof
<terrafirmacraftplus:ShallowTileRoofCenter>, Shallow Ceramic Tile Roof Peak
<terrafirmacraftplus:SlateRoofCenter>, Slate Roof Peak
<terrafirmacraftplus:Sluice>, Sluice
<terrafirmacraftplus:Smoke>, Smoke
<terrafirmacraftplus:SmokeRack>, Smoke Rack
<terrafirmacraftplus:Snow>, Snow
<terrafirmacraftplus:SpawnMeter>, Protection Meter
<terrafirmacraftplus:StackedWoodHoriz>, Stacked Oak Log
<terrafirmacraftplus:StackedWoodHoriz2>, Stacked Pine Log
<terrafirmacraftplus:StackedWoodHoriz3>, Stacked Acacia Log
<terrafirmacraftplus:StackedWoodHoriz4>, Stacked Bamboo Logs
<terrafirmacraftplus:StackedWoodHoriz5>, Stacked Yew Logs
<terrafirmacraftplus:StackedWoodHoriz6>, Unknown.name
<terrafirmacraftplus:StackedWoodVert>, Stacked Oak Logs
<terrafirmacraftplus:StackedWoodVert2>, Stacked Acacia Logs
<terrafirmacraftplus:StackedWoodVert3>, Stacked Yew Logs
<terrafirmacraftplus:StaghornCoral>, Staghorn Coral
<terrafirmacraftplus:Starfish>, tile.Starfish.name
<terrafirmacraftplus:SteepCopperRoof>, Steep Copper Roof
<terrafirmacraftplus:SteepCopperRoofCenter>, Steep Copper Roof Peak
<terrafirmacraftplus:SteepGreenCopperRoof>, Steep Green Copper Roof
<terrafirmacraftplus:SteepGreenCopperRoofCenter>, Steep Green Copper Roof Peak
<terrafirmacraftplus:SteepSlateRoof>, Steep Slate Roof
<terrafirmacraftplus:SteepSlateRoofCenter>, Steep Slate Roof Peak
<terrafirmacraftplus:SteepThatchRoof>, Steep Thatch Roof
<terrafirmacraftplus:SteepThatchRoofCenter>, Steep Thatch Roof Peak
<terrafirmacraftplus:SteepTileRoof>, Steep Ceramic Tile Roof
<terrafirmacraftplus:SteepTileRoofCenter>, Steep Ceramic Tile Roof Peak
<terrafirmacraftplus:Stick Teepee>, Wicker Teepee
<terrafirmacraftplus:StoneHopper>, Quartzite Hopper
<terrafirmacraftplus:StoneIgEx>, Rhyolite
<terrafirmacraftplus:StoneIgExBrick>, Rhyolite Bricks
<terrafirmacraftplus:StoneIgExCobble>, Rhyolite Cobblestone
<terrafirmacraftplus:StoneIgExLargeBrick>, Rhyolite Large Bricks
<terrafirmacraftplus:StoneIgExSmooth>, Smooth Rhyolite
<terrafirmacraftplus:StoneIgIn>, Granite
<terrafirmacraftplus:StoneIgInBrick>, Granite Bricks
<terrafirmacraftplus:StoneIgInCobble>, Granite Cobblestone
<terrafirmacraftplus:StoneIgInLargeBrick>, Granite Large Bricks
<terrafirmacraftplus:StoneIgInSmooth>, Smooth Granite
<terrafirmacraftplus:StoneMM>, Quartzite
<terrafirmacraftplus:StoneMMBrick>, Quartzite Bricks
<terrafirmacraftplus:StoneMMCobble>, Quartzite Cobblestone
<terrafirmacraftplus:StoneMMLargeBrick>, Quartzite Large Bricks
<terrafirmacraftplus:StoneMMSmooth>, Smooth Quartzite
<terrafirmacraftplus:StoneRoad>, Stone Road
<terrafirmacraftplus:StoneSed>, Shale
<terrafirmacraftplus:StoneSedBrick>, Shale Bricks
<terrafirmacraftplus:StoneSedCobble>, Shale Cobblestone
<terrafirmacraftplus:StoneSedLargeBrick>, Shale Large Bricks
<terrafirmacraftplus:StoneSedSmooth>, Smooth Shale
<terrafirmacraftplus:StrawHideBed>, Straw & Hide Bed
<terrafirmacraftplus:Sulfur>, Sulfur
<terrafirmacraftplus:TableCoral>, Table Coral
<terrafirmacraftplus:TallGrass>, Tall Grass
<terrafirmacraftplus:TanninWater>, tile.TanninWater.name
<terrafirmacraftplus:TanninWaterStationary>, tile.TanninWaterStationary.name
<terrafirmacraftplus:Teepee>, Teepee
<terrafirmacraftplus:Thatch>, Straw Block
<terrafirmacraftplus:ThatchRoofCenter>, Thatch Roof Peak
<terrafirmacraftplus:TileRoof>, Ceramic Tile Roof
<terrafirmacraftplus:TileRoofCenter>, Ceramic Tile Roof Peak
<terrafirmacraftplus:ToolRack>, Oak Tool Rack
<terrafirmacraftplus:Torch>, Torch
<terrafirmacraftplus:TorchOff>, Extinguished Torch
<terrafirmacraftplus:Treehive>, Beehive
<terrafirmacraftplus:TubeCoral>, Tuble Coral
<terrafirmacraftplus:UnlitPumpkin>, Unlit Jack o' Lantern
<terrafirmacraftplus:Vessel>, Large Vessel
<terrafirmacraftplus:Vine>, Vine
<terrafirmacraftplus:WallBrickIgEx>, Rhyolite Brick Wall
<terrafirmacraftplus:WallBrickIgIn>, Granite Brick Wall
<terrafirmacraftplus:WallBrickMM>, Quartzite Brick Wall
<terrafirmacraftplus:WallBrickSed>, Shale Brick Wall
<terrafirmacraftplus:WallCobbleIgEx>, Rhyolite Cobblestone Wall
<terrafirmacraftplus:WallCobbleIgIn>, Granite Cobblestone Wall
<terrafirmacraftplus:WallCobbleMM>, Quartzite Cobblestone Wall
<terrafirmacraftplus:WallCobbleSed>, Shale Cobblestone Wall
<terrafirmacraftplus:WallLargeBrickIgEx>, Rhyolite Brick Wall
<terrafirmacraftplus:WallLargeBrickIgIn>, Granite Brick Wall
<terrafirmacraftplus:WallLargeBrickMM>, Quartzite Brick Wall
<terrafirmacraftplus:WallLargeBrickSed>, Shale Brick Wall
<terrafirmacraftplus:WallRawIgEx>, Rhyolite Wall
<terrafirmacraftplus:WallRawIgIn>, Granite Wall
<terrafirmacraftplus:WallRawMM>, Quartzite Wall
<terrafirmacraftplus:WallRawSed>, Shale Wall
<terrafirmacraftplus:WallSmoothIgEx>, Rhyolite Smooth Wall
<terrafirmacraftplus:WallSmoothIgIn>, Granite Smooth Wall
<terrafirmacraftplus:WallSmoothMM>, Quartzite Smooth Wall
<terrafirmacraftplus:WallSmoothSed>, Shale Smooth Wall
<terrafirmacraftplus:WaterWheel>, Waterwheel
<terrafirmacraftplus:Wattle Wall>, Wattle
<terrafirmacraftplus:Wattle and Daub>, Wattle and Daub
<terrafirmacraftplus:WildBeehive>, Beehive
<terrafirmacraftplus:Wolf Teepee>, Wolf Fur Teepee
<terrafirmacraftplus:WoodAxle>, Wooden Axle
<terrafirmacraftplus:WoodAxleBearing>, Wooden Axle Bearing
<terrafirmacraftplus:WoodAxleCouple>, Wooden Axle Couple
<terrafirmacraftplus:WoodConstruct>, Lumber
<terrafirmacraftplus:WoodCrankshaft>, Wooden Crankshaft
<terrafirmacraftplus:WoodGears>, tile.WoodGears.name
<terrafirmacraftplus:WoodHoriz>, Oak Log
<terrafirmacraftplus:WoodHoriz2>, Pine Log
<terrafirmacraftplus:WoodHoriz3>, Acacia Log
<terrafirmacraftplus:WoodHoriz4>, Bamboo Log
<terrafirmacraftplus:WoodHoriz5>, Yew Log
<terrafirmacraftplus:WoodHoriz6>, Unknown.name
<terrafirmacraftplus:WoodSupportH>, Oak Support Beam
<terrafirmacraftplus:WoodSupportH2>, Acacia Support Beam
<terrafirmacraftplus:WoodSupportH3>, Yew Support Beam
<terrafirmacraftplus:WoodSupportV>, Oak Support Beam
<terrafirmacraftplus:WoodSupportV2>, Acacia Support Beam
<terrafirmacraftplus:WoodSupportV3>, Yew Support Beam
<terrafirmacraftplus:WoodVert>, Oak Log
<terrafirmacraftplus:WoodVert2>, Acacia Log
<terrafirmacraftplus:WoodVert3>, Yew Log
<terrafirmacraftplus:WoodenSpear>, Wooden Spear
<terrafirmacraftplus:Workbench>, Workbench
<terrafirmacraftplus:brickChimney>, Brick Chimney
<terrafirmacraftplus:cLights>, tile.Lights.name
<terrafirmacraftplus:chimneyBricks>, Granite Brick Chimney
<terrafirmacraftplus:chimneyBricks2>, Slate Brick Chimney
<terrafirmacraftplus:chimneyLargeBricks>, Granite Brick Chimney
<terrafirmacraftplus:chimneyLargeBricks2>, Slate Brick Chimney
<terrafirmacraftplus:dryingBricks>, Mud Bricks
<terrafirmacraftplus:fern>, Fern
<terrafirmacraftplus:fruitTreeLeaves>, Fruit Tree Leaves
<terrafirmacraftplus:fruitTreeLeaves2>, Fruit Tree Leaves
<terrafirmacraftplus:fruitTreeWood>, Fruit Tree
<terrafirmacraftplus:item.2x Candle Holder Mold>, Clay Double Candle Holder Mold
<terrafirmacraftplus:item.3x Candle Holder Mold>, Clay Triple Candle Holder Mold
<terrafirmacraftplus:item.Acacia Door>, Acacia Door
<terrafirmacraftplus:item.Agate>, Chipped Agate
<terrafirmacraftplus:item.Agave>, Agave
<terrafirmacraftplus:item.Agave Juice>, Bottle of Agave Juice
<terrafirmacraftplus:item.Agave JuicePottery>, Agave Juice Jug
<terrafirmacraftplus:item.Agave Wine>, Bottle of Agave Wine
<terrafirmacraftplus:item.Agave WinePottery>, Agave Wine Jug
<terrafirmacraftplus:item.Amethyst>, Chipped Amethyst
<terrafirmacraftplus:item.AmmoniumChlorideBall>, Ammonium Chloride Ball
<terrafirmacraftplus:item.AncientPlough>, item.AncientPlough.name
<terrafirmacraftplus:item.Apple Juice>, Bottle of Apple Juice
<terrafirmacraftplus:item.Apple JuicePottery>, Apple Juice Jug
<terrafirmacraftplus:item.Applejack>, Bottle of Applejack
<terrafirmacraftplus:item.Ash Door>, Ash Door
<terrafirmacraftplus:item.Aspen Door>, Aspen Door
<terrafirmacraftplus:item.Axe Mold>, Clay Axe Mold
<terrafirmacraftplus:item.Bag Piece>, Leather Bag Piece
<terrafirmacraftplus:item.Bamboo Door>, Bamboo Door
<terrafirmacraftplus:item.Banana>, Banana
<terrafirmacraftplus:item.Bandage>, Bandages
<terrafirmacraftplus:item.Baobab Door>, Baobab Door
<terrafirmacraftplus:item.Barley Bread>, Barley Bread
<terrafirmacraftplus:item.Barley Dough>, Barley Dough
<terrafirmacraftplus:item.Barley Germ>, Barley Malt
<terrafirmacraftplus:item.Barley Grain>, Barley Grain
<terrafirmacraftplus:item.Barley Ground>, Barley Flour
<terrafirmacraftplus:item.Barley Whole>, Barley
<terrafirmacraftplus:item.Barley Wine>, Bottle of Barley Wine
<terrafirmacraftplus:item.Barley WinePottery>, Barley Wine Jug
<terrafirmacraftplus:item.BarleyWhiskey>, Bottle of Barley Whiskey
<terrafirmacraftplus:item.Bear Fur>, Small Bear Fur
<terrafirmacraftplus:item.Bear Fur Boots>, Bear Fur Boots
<terrafirmacraftplus:item.Bear Fur Cloak>, Bear Fur Cloak
<terrafirmacraftplus:item.Bear Fur Coat>, Bear Fur Coat
<terrafirmacraftplus:item.Bear Fur Generic Hat>, Bear Fur Hat
<terrafirmacraftplus:item.Bear Fur Hat>, Bear Fur Hat
<terrafirmacraftplus:item.Bear Fur Pants>, Bear Fur Pants
<terrafirmacraftplus:item.Bear Fur Scrap>, Small Bear Fur Scrap
<terrafirmacraftplus:item.Beef>, Beef
<terrafirmacraftplus:item.Beer>, Bottle of Beer
<terrafirmacraftplus:item.BeerPottery>, Beer Jug
<terrafirmacraftplus:item.Berry Juice>, Bottle of Berry Juice
<terrafirmacraftplus:item.Berry JuicePottery>, Berry Juice Jug
<terrafirmacraftplus:item.BerryBrandy>, Bottle of Berry Brandy
<terrafirmacraftplus:item.BerryWine>, Bottle of Berry Wine
<terrafirmacraftplus:item.BerryWinePottery>, Berry Wine Jug
<terrafirmacraftplus:item.Beryl>, Chipped Beryl
<terrafirmacraftplus:item.Birch Door>, Birch Door
<terrafirmacraftplus:item.Bismuth Bronze Axe>, Bismuth Bronze Axe
<terrafirmacraftplus:item.Bismuth Bronze Axe Head>, Bismuth Bronze Axe Head
<terrafirmacraftplus:item.Bismuth Bronze Boots>, Bismuth Bronze Boots
<terrafirmacraftplus:item.Bismuth Bronze Chestplate>, Bismuth Bronze Chestplate
<terrafirmacraftplus:item.Bismuth Bronze Chisel>, Bismuth Bronze Chisel
<terrafirmacraftplus:item.Bismuth Bronze Chisel Head>, Bismuth Bronze Chisel Head
<terrafirmacraftplus:item.Bismuth Bronze Double Ingot>, Bismuth Bronze Double Ingot
<terrafirmacraftplus:item.Bismuth Bronze Double Sheet>, Bismuth Bronze Double Sheet
<terrafirmacraftplus:item.Bismuth Bronze Greaves>, Bismuth Bronze Greaves
<terrafirmacraftplus:item.Bismuth Bronze Hammer>, Bismuth Bronze Hammer
<terrafirmacraftplus:item.Bismuth Bronze Hammer Head>, Bismuth Bronze Hammer Head
<terrafirmacraftplus:item.Bismuth Bronze Helmet>, Bismuth Bronze Helmet
<terrafirmacraftplus:item.Bismuth Bronze Hoe>, Bismuth Bronze Hoe
<terrafirmacraftplus:item.Bismuth Bronze Hoe Head>, Bismuth Bronze Hoe Head
<terrafirmacraftplus:item.Bismuth Bronze Ingot>, Bismuth Bronze Ingot
<terrafirmacraftplus:item.Bismuth Bronze Javelin>, Bismuth Bronze Javelin
<terrafirmacraftplus:item.Bismuth Bronze Javelin Head>, Bismuth Bronze Javelin Head
<terrafirmacraftplus:item.Bismuth Bronze Knife>, Bismuth Bronze Knife
<terrafirmacraftplus:item.Bismuth Bronze Knife Blade>, Bismuth Bronze Knife Blade
<terrafirmacraftplus:item.Bismuth Bronze Mace>, Bismuth Bronze Mace
<terrafirmacraftplus:item.Bismuth Bronze Mace Head>, Bismuth Bronze Mace Head
<terrafirmacraftplus:item.Bismuth Bronze Pick>, Bismuth Bronze Pickaxe
<terrafirmacraftplus:item.Bismuth Bronze Pick Head>, Bismuth Bronze Pickaxe Head
<terrafirmacraftplus:item.Bismuth Bronze ProPick>, Bismuth Bronze Prospector's Pick
<terrafirmacraftplus:item.Bismuth Bronze ProPick Head>, Bismuth Bronze Prospector's Pick Head
<terrafirmacraftplus:item.Bismuth Bronze Saw>, Bismuth Bronze Saw
<terrafirmacraftplus:item.Bismuth Bronze Saw Blade>, Bismuth Bronze Saw Blade
<terrafirmacraftplus:item.Bismuth Bronze Scythe>, Bismuth Bronze Scythe
<terrafirmacraftplus:item.Bismuth Bronze Scythe Blade>, Bismuth Bronze Scythe Blade
<terrafirmacraftplus:item.Bismuth Bronze Sheet>, Bismuth Bronze Sheet
<terrafirmacraftplus:item.Bismuth Bronze Shovel>, Bismuth Bronze Shovel
<terrafirmacraftplus:item.Bismuth Bronze Shovel Head>, Bismuth Bronze Shovel Head
<terrafirmacraftplus:item.Bismuth Bronze Sword>, Bismuth Bronze Sword
<terrafirmacraftplus:item.Bismuth Bronze Sword Blade>, Bismuth Bronze Sword Blade
<terrafirmacraftplus:item.Bismuth Bronze Trowel>, Bismuth Bronze Mason's Trowel
<terrafirmacraftplus:item.Bismuth Bronze Trowel Head>, Bismuth Bronze Mason's Trowel Head
<terrafirmacraftplus:item.Bismuth Bronze Tuyere>, Bismuth Bronze Tuyere
<terrafirmacraftplus:item.Bismuth Bronze Unfinished Boots>, Unfinished Bismuth Bronze Boots
<terrafirmacraftplus:item.Bismuth Bronze Unfinished Chestplate>, Unfinished Bismuth Bronze Chestplate
<terrafirmacraftplus:item.Bismuth Bronze Unfinished Greaves>, Unfinished Bismuth Bronze Greaves
<terrafirmacraftplus:item.Bismuth Bronze Unfinished Helmet>, Unfinished Bismuth Bronze Helmet
<terrafirmacraftplus:item.Bismuth Bronze Unshaped>, Unshaped: Bismuth Bronze
<terrafirmacraftplus:item.Bismuth Double Ingot>, Bismuth Double Ingot
<terrafirmacraftplus:item.Bismuth Double Sheet>, Bismuth Double Sheet
<terrafirmacraftplus:item.Bismuth Ingot>, Bismuth Ingot
<terrafirmacraftplus:item.Bismuth Sheet>, Bismuth Sheet
<terrafirmacraftplus:item.Bismuth Unshaped>, Unshaped: Bismuth
<terrafirmacraftplus:item.Black Bronze Axe>, Black Bronze Axe
<terrafirmacraftplus:item.Black Bronze Axe Head>, Black Bronze Axe Head
<terrafirmacraftplus:item.Black Bronze Boots>, Black Bronze Boots
<terrafirmacraftplus:item.Black Bronze Chestplate>, Black Bronze Chestplate
<terrafirmacraftplus:item.Black Bronze Chisel>, Black Bronze Chisel
<terrafirmacraftplus:item.Black Bronze Chisel Head>, Black Bronze Chisel Head
<terrafirmacraftplus:item.Black Bronze Double Ingot>, Black Bronze Double Ingot
<terrafirmacraftplus:item.Black Bronze Double Sheet>, Black Bronze Double Sheet
<terrafirmacraftplus:item.Black Bronze Greaves>, Black Bronze Greaves
<terrafirmacraftplus:item.Black Bronze Hammer>, Black Bronze Hammer
<terrafirmacraftplus:item.Black Bronze Hammer Head>, Black Bronze Hammer Head
<terrafirmacraftplus:item.Black Bronze Helmet>, Black Bronze Helmet
<terrafirmacraftplus:item.Black Bronze Hoe>, Black Bronze Hoe
<terrafirmacraftplus:item.Black Bronze Hoe Head>, Black Bronze Hoe Head
<terrafirmacraftplus:item.Black Bronze Ingot>, Black Bronze Ingot
<terrafirmacraftplus:item.Black Bronze Javelin>, Black Bronze Javelin
<terrafirmacraftplus:item.Black Bronze Javelin Head>, Black Bronze Javelin Head
<terrafirmacraftplus:item.Black Bronze Knife>, Black Bronze Knife
<terrafirmacraftplus:item.Black Bronze Knife Blade>, Black Bronze Knife Blade
<terrafirmacraftplus:item.Black Bronze Mace>, Black Bronze Mace
<terrafirmacraftplus:item.Black Bronze Mace Head>, Black Bronze Mace Head
<terrafirmacraftplus:item.Black Bronze Pick>, Black Bronze Pickaxe
<terrafirmacraftplus:item.Black Bronze Pick Head>, Black Bronze Pickaxe Head
<terrafirmacraftplus:item.Black Bronze ProPick>, Black Bronze Prospector's Pick
<terrafirmacraftplus:item.Black Bronze ProPick Head>, Black Bronze Prospector's Pick Head
<terrafirmacraftplus:item.Black Bronze Saw>, Black Bronze Saw
<terrafirmacraftplus:item.Black Bronze Saw Blade>, Black Bronze Saw Blade
<terrafirmacraftplus:item.Black Bronze Scythe>, Black Bronze Scythe
<terrafirmacraftplus:item.Black Bronze Scythe Blade>, Black Bronze Scythe Blade
<terrafirmacraftplus:item.Black Bronze Sheet>, Black Bronze Sheet
<terrafirmacraftplus:item.Black Bronze Shovel>, Black Bronze Shovel
<terrafirmacraftplus:item.Black Bronze Shovel Head>, Black Bronze Shovel Head
<terrafirmacraftplus:item.Black Bronze Sword>, Black Bronze Sword
<terrafirmacraftplus:item.Black Bronze Sword Blade>, Black Bronze Sword Blade
<terrafirmacraftplus:item.Black Bronze Trowel>, Black Bronze Mason's Trowel
<terrafirmacraftplus:item.Black Bronze Trowel Head>, Black Bronze Mason's Trowel Head
<terrafirmacraftplus:item.Black Bronze Tuyere>, Black Bronze Tuyere
<terrafirmacraftplus:item.Black Bronze Unfinished Boots>, Unfinished Black Bronze Boots
<terrafirmacraftplus:item.Black Bronze Unfinished Chestplate>, Unfinished Black Bronze Chestplate
<terrafirmacraftplus:item.Black Bronze Unfinished Greaves>, Unfinished Black Bronze Greaves
<terrafirmacraftplus:item.Black Bronze Unfinished Helmet>, Unfinished Black Bronze Helmet
<terrafirmacraftplus:item.Black Bronze Unshaped>, Unshaped: Black Bronze
<terrafirmacraftplus:item.Black Steel Axe>, Black Steel Axe
<terrafirmacraftplus:item.Black Steel Axe Head>, Black Steel Axe Head
<terrafirmacraftplus:item.Black Steel Boots>, Black Steel Boots
<terrafirmacraftplus:item.Black Steel Chestplate>, Black Steel Chestplate
<terrafirmacraftplus:item.Black Steel Chisel>, Black Steel Chisel
<terrafirmacraftplus:item.Black Steel Chisel Head>, Black Steel Chisel Head
<terrafirmacraftplus:item.Black Steel Double Ingot>, Black Steel Double Ingot
<terrafirmacraftplus:item.Black Steel Double Sheet>, Black Steel Double Sheet
<terrafirmacraftplus:item.Black Steel Greaves>, Black Steel Greaves
<terrafirmacraftplus:item.Black Steel Hammer>, Black Steel Hammer
<terrafirmacraftplus:item.Black Steel Hammer Head>, Black Steel Hammer Head
<terrafirmacraftplus:item.Black Steel Helmet>, Black Steel Helmet
<terrafirmacraftplus:item.Black Steel Hoe>, Black Steel Hoe
<terrafirmacraftplus:item.Black Steel Hoe Head>, Black Steel Hoe Head
<terrafirmacraftplus:item.Black Steel Ingot>, Black Steel Ingot
<terrafirmacraftplus:item.Black Steel Javelin>, Black Steel Javelin
<terrafirmacraftplus:item.Black Steel Javelin Head>, Black Steel Javelin Head
<terrafirmacraftplus:item.Black Steel Knife>, Black Steel Knife
<terrafirmacraftplus:item.Black Steel Knife Blade>, Black Steel Knife Blade
<terrafirmacraftplus:item.Black Steel Mace>, Black Steel Mace
<terrafirmacraftplus:item.Black Steel Mace Head>, Black Steel Mace Head
<terrafirmacraftplus:item.Black Steel Pick>, Black Steel Pickaxe
<terrafirmacraftplus:item.Black Steel Pick Head>, Black Steel Pickaxe Head
<terrafirmacraftplus:item.Black Steel ProPick>, Black Steel Prospector's Pick
<terrafirmacraftplus:item.Black Steel ProPick Head>, Black Steel Prospector's Pick Head
<terrafirmacraftplus:item.Black Steel Saw>, Black Steel Saw
<terrafirmacraftplus:item.Black Steel Saw Blade>, Black Steel Saw Blade
<terrafirmacraftplus:item.Black Steel Scythe>, Black Steel Scythe
<terrafirmacraftplus:item.Black Steel Scythe Blade>, Black Steel Scythe Blade
<terrafirmacraftplus:item.Black Steel Sheet>, Black Steel Sheet
<terrafirmacraftplus:item.Black Steel Shovel>, Black Steel Shovel
<terrafirmacraftplus:item.Black Steel Shovel Head>, Black Steel Shovel Head
<terrafirmacraftplus:item.Black Steel Sword>, Black Steel Sword
<terrafirmacraftplus:item.Black Steel Sword Blade>, Black Steel Sword Blade
<terrafirmacraftplus:item.Black Steel Trowel>, Black Steel Mason's Trowel
<terrafirmacraftplus:item.Black Steel Trowel Head>, Black Steel Mason's Trowel Head
<terrafirmacraftplus:item.Black Steel Tuyere>, Black Steel Tuyere
<terrafirmacraftplus:item.Black Steel Unfinished Boots>, Unfinished Black Steel Boots
<terrafirmacraftplus:item.Black Steel Unfinished Chestplate>, Unfinished Black Steel Chestplate
<terrafirmacraftplus:item.Black Steel Unfinished Greaves>, Unfinished Black Steel Greaves
<terrafirmacraftplus:item.Black Steel Unfinished Helmet>, Unfinished Black Steel Helmet
<terrafirmacraftplus:item.Black Steel Unshaped>, Unshaped: Black Steel
<terrafirmacraftplus:item.Black-Eyed Peas>, Black-Eyed Peas
<terrafirmacraftplus:item.Blackberry>, Blackberries
<terrafirmacraftplus:item.Blowpipe>, Clay Blowpipe
<terrafirmacraftplus:item.Blue Steel Axe>, Blue Steel Axe
<terrafirmacraftplus:item.Blue Steel Axe Head>, Blue Steel Axe Head
<terrafirmacraftplus:item.Blue Steel Boots>, Blue Steel Boots
<terrafirmacraftplus:item.Blue Steel Bucket Empty>, Blue Steel Bucket (Empty)
<terrafirmacraftplus:item.Blue Steel Bucket Lava>, Blue Steel Bucket (Lava)
<terrafirmacraftplus:item.Blue Steel Chestplate>, Blue Steel Chestplate
<terrafirmacraftplus:item.Blue Steel Chisel>, Blue Steel Chisel
<terrafirmacraftplus:item.Blue Steel Chisel Head>, Blue Steel Chisel Head
<terrafirmacraftplus:item.Blue Steel Double Ingot>, Blue Steel Double Ingot
<terrafirmacraftplus:item.Blue Steel Double Sheet>, Blue Steel Double Sheet
<terrafirmacraftplus:item.Blue Steel Greaves>, Blue Steel Greaves
<terrafirmacraftplus:item.Blue Steel Hammer>, Blue Steel Hammer
<terrafirmacraftplus:item.Blue Steel Hammer Head>, Blue Steel Hammer Head
